index,Value
532,4.54
533,4.92
534,4.54
535,4.54
536,3.41
537,3.03
538,3.41
539,2.65
540,3.41
541,5.3
542,8.34
543,10.62
544,9.86
545,9.48
546,7.2
547,7.2
548,8.34
549,7.2
550,9.1
551,6.82
552,5.3
553,3.79
554,4.92
555,6.06
556,6.82
557,5.3
558,4.54
559,5.3
560,9.86
561,7.96
562,6.06
563,6.82
564,4.54
565,4.17
566,4.54
567,4.54
568,6.82
569,4.17
570,5.68
571,6.06
572,6.44
573,7.2
574,7.2
575,9.1
576,9.86
577,9.48
578,7.58
579,10.24
580,9.48
581,8.72
582,7.58
583,10.24
584,10.24
585,9.48
586,5.68
587,6.82
588,8.72
589,9.86
590,11.0
591,9.86
592,9.86
593,9.86
594,9.48
595,9.86
596,10.62
597,9.86
598,10.62
599,10.62
600,11.0
601,11.0
602,11.0
603,10.24
604,10.62
605,9.86
606,9.48
607,10.24
608,9.48
609,8.34
610,11.38
611,11.38
612,10.24
613,9.48
614,7.58
615,6.06
616,6.06
617,4.92
618,6.06
619,5.68
620,6.82
621,6.06
622,4.92
623,6.44
624,6.44
625,6.06
626,5.68
627,7.58
628,6.82
629,7.2
630,7.2
631,6.06
632,6.06
633,6.82
634,6.82
635,4.92
636,3.03
637,2.27
638,1.51
639,1.51
640,2.65
641,2.27
642,2.65
643,3.41
644,3.79
645,1.51
646,1.89
647,1.89
648,2.27
649,0.37
650,1.89
651,4.54
652,7.2
653,6.44
654,5.68
655,6.44
656,5.3
657,6.06
658,6.06
659,6.82
660,6.06
661,5.3
662,4.17
663,3.41
664,4.17
665,4.92
666,3.03
667,1.51
668,2.65
669,2.65
670,3.41
671,3.03
672,2.65
673,2.27
674,0.37
675,0.37
676,1.89
677,2.27
678,1.89
679,1.89
680,0.37
681,0.37
682,0.37
683,0.37
684,1.51
685,0.37
686,0.37
687,0.37
688,2.27
689,2.65
690,1.89
691,0.37
692,0.37
693,0.37
694,0.37
695,0.37
696,1.89
697,1.51
698,2.65
699,3.41
700,2.65
701,1.89
702,4.17
703,4.17
704,2.27
705,1.89
706,0.37
707,2.65
708,1.13
709,1.89
710,2.27
711,1.89
712,3.79
713,4.17
714,3.03
715,4.54
716,4.17
717,3.41
718,2.27
719,3.41
720,3.41
721,5.68
722,5.3
723,5.3
724,7.2
725,8.72
726,6.82
727,9.1
728,7.58
729,7.96
730,6.82
731,7.2
732,8.34
733,8.34
734,8.34
735,7.58
736,7.58
737,9.1
738,8.72
739,7.96
740,7.96
741,6.82
742,6.82
743,7.2
744,6.44
745,7.58
746,7.2
747,6.82
748,7.58
749,11.76
750,11.38
751,10.24
752,11.0
753,15.55
754,15.55
755,11.38
756,13.27
757,14.79
758,16.31
759,15.17
760,12.51
761,11.76
762,11.76
763,11.76
764,10.62
765,9.48
766,11.0
767,10.62
768,12.13
769,12.13
770,10.62
771,10.24
772,9.86
773,11.0
774,12.51
775,14.79
776,14.79
777,11.0
778,12.13
779,14.41
780,13.65
781,13.27
782,11.0
783,7.96
784,7.96
785,9.48
786,12.13
787,11.76
788,11.38
789,11.38
790,9.86
791,10.62
792,9.1
793,8.72
794,8.34
795,7.2
796,4.92
797,3.79
798,3.79
799,3.03
800,5.3
801,6.06
802,5.68
803,6.82
804,5.68
805,7.58
806,6.82
807,6.82
808,5.3
809,4.54
810,3.79
811,4.54
812,5.3
813,4.92
814,3.79
815,4.92
816,4.17
817,5.3
818,4.92
819,5.68
820,4.92
821,4.54
822,4.54
823,4.54
824,4.54
825,2.27
826,4.17
827,3.79
828,2.65
829,4.92
830,3.41
831,3.79
832,2.27
833,3.79
834,3.79
835,5.3
836,4.92
837,4.54
838,4.92
839,4.92
840,3.41
841,3.41
842,3.41
843,4.54
844,4.54
845,3.79
846,3.41
847,4.17
848,3.41
849,2.65
850,4.17
851,3.79
852,6.06
853,7.96
854,7.96
855,7.96
856,6.82
857,6.82
858,4.92
859,6.82
860,7.58
861,7.2
862,8.72
863,8.72
864,8.34
865,8.72
866,9.1
867,7.58
868,6.06
869,6.06
870,7.58
871,6.82
872,6.06
873,5.68
874,7.2
875,6.06
876,5.68
877,7.2
878,6.82
879,6.44
880,6.06
881,5.68
882,6.06
883,5.68
884,5.68
885,4.92
886,5.68
887,5.3
888,4.92
889,6.06
890,5.68
891,5.68
892,6.06
893,4.92
894,5.3
895,3.79
896,3.41
897,2.27
898,2.65
899,3.41
900,1.89
901,1.89
902,2.65
903,1.51
904,0.37
905,0.37
906,0.37
907,2.27
908,2.27
909,2.27
910,3.03
911,1.51
912,3.03
913,6.06
914,5.3
915,4.54
916,4.54
917,5.68
918,4.54
919,3.79
920,3.41
921,3.03
922,2.27
923,2.65
924,0.37
925,1.51
926,3.03
927,3.79
928,3.41
929,1.89
930,1.13
931,2.65
932,1.89
933,0.37
934,0.37
935,1.51
936,0.37
937,1.13
938,3.03
939,5.3
940,5.68
941,5.3
942,2.27
943,3.79
944,9.48
945,6.44
946,4.17
947,6.44
948,4.92
949,4.92
950,6.82
951,6.44
952,1.89
953,1.51
954,1.51
955,1.89
956,1.89
957,3.03
958,4.17
959,4.54
960,4.54
961,4.17
962,3.79
963,3.41
964,5.3
965,4.54
966,4.54
967,4.54
968,4.17
969,3.79
970,6.82
971,6.06
972,6.82
973,7.2
974,6.82
975,5.68
976,4.54
977,4.92
978,4.54
979,6.06
980,7.58
981,8.72
982,7.58
983,8.72
984,9.1
985,8.72
986,9.1
987,9.1
988,8.34
989,9.1
990,11.0
991,11.38
992,9.86
993,10.62
994,9.86
